Acc X;Acc Y;Acc Z;Gyr X;Gyr Y;Gyr Z;Mag X;Mag Y;Mag Z;q0;q1;q2;q3;Roll;Pitch;Yaw;
-0.17;-0.23;8.97;-0.02;0.01;-0.00;-0.08;1.03;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.52;-0.08;10.36;0.00;-0.00;0.00;-0.14;1.08;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.23;0.03;9.76;0.01;-0.00;0.00;-0.07;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.33;-0.12;9.37;-0.02;0.01;0.00;-0.14;1.09;-1.29;0.82;-0.01;0.01;0.57;-0.41;1.88;68.95;
-0.56;-0.11;10.48;0.02;-0.01;0.00;-0.06;1.03;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.24;0.09;9.49;-0.00;0.00;-0.00;-0.13;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.24;-0.25;9.72;-0.02;0.02;0.00;-0.06;1.02;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.88;68.95;
-0.50;0.02;10.27;0.03;-0.01;0.00;-0.11;1.05;-1.20;0.82;-0.01;0.01;0.57;-0.39;1.88;68.95;
-0.07;-0.05;9.34;-0.02;0.01;0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.46;-0.30;9.76;0.00;-0.00;0.00;-0.09;1.04;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.39;0.00;9.98;0.01;-0.01;0.00;-0.08;1.03;-1.27;0.82;-0.01;0.01;0.57;-0.39;1.88;68.95;
-0.20;-0.15;9.47;-0.01;0.01;-0.00;-0.08;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.34;-0.23;9.65;-0.00;-0.00;-0.00;-0.09;1.04;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.32;0.02;10.06;0.01;-0.00;0.00;-0.07;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.17;-0.14;9.44;-0.01;-0.00;0.00;-0.11;1.08;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.44;-0.10;9.87;-0.00;-0.00;0.00;-0.05;1.05;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;68.95;
-0.35;0.10;10.30;0.00;0.00;0.00;-0.13;1.09;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;68.96;
-0.33;-0.20;9.21;-0.01;0.01;-0.00;-0.06;1.04;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
-0.41;0.01;10.12;0.00;0.00;-0.00;-0.12;1.08;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.88;68.95;
